idx,timestamp_iso,lat,lng,accuracy_m,altitude_m,altitude_accuracy_m,heading_deg,speed_ms,speed_kmh,source
1,2026-03-31T10:03:58.949Z,30.0203015,31.2030407,5.181000232696533,36.79999923706055,0,350.09259033203125,13.645393371582031,49.123416137695315,gps
2,2026-03-31T10:03:59.712Z,30.0204388,31.2030065,4.993000030517578,36.79999923706055,0,348.44659423828125,13.565827369689941,48.83697853088379,gps
3,2026-03-31T10:04:00.712Z,30.0205712,31.2029582,4.9070000648498535,36.79999923706055,0,346.55078125,13.311132431030273,47.92007675170898,gps
4,2026-03-31T10:04:01.711Z,30.0206761,31.2029074,4.8480000495910645,36.79999923706055,0,344.8861999511719,12.418354988098145,44.70607795715332,gps
5,2026-03-31T10:04:02.712Z,30.0207736,31.2028604,4.775000095367432,36.79999923706055,0,343.9450378417969,11.578781127929688,41.68361206054688,gps
6,2026-03-31T10:04:03.711Z,30.0208547,31.2028325,4.739999771118164,36.79999923706055,0,343.87469482421875,10.631260871887207,38.272539138793945,gps
7,2026-03-31T10:04:04.711Z,30.0209341,31.2028098,4.622000217437744,36.79999923706055,0,344.6748352050781,9.761615753173828,35.14181671142578,gps
8,2026-03-31T10:04:05.712Z,30.0210014,31.2027805,4.526000022888184,36.79999923706055,0,342.7538757324219,8.55429458618164,30.795460510253907,gps
9,2026-03-31T10:04:06.712Z,30.0210659,31.2027589,4.386000156402588,36.79999923706055,0,342.7893371582031,7.891520977020264,28.40947551727295,gps
10,2026-03-31T10:04:07.712Z,30.0211197,31.2027367,4.341000080108643,36.79999923706055,0,342.721923828125,7.1591644287109375,25.772991943359376,gps
11,2026-03-31T10:04:08.711Z,30.0211755,31.2027174,4.243000030517578,36.79999923706055,0,343.3648376464844,6.829645156860352,24.586722564697265,gps
12,2026-03-31T10:04:09.712Z,30.0211977,31.2027298,4.139999866485596,36.79999923706055,0,351.8294677734375,3.63835072517395,13.09806261062622,gps
